campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,mes_inicio,mes_fin,año_inicio,año_fin,trimestre_inicio,trimestre_fin,roi_category,conversion_rate_category,performance_category,cost_per_conversion
Cross-platform composite matrix,2022-10-30,2024-02-25,46976.52,0.1,webinar,B2C,organic,0.85,371431.14,324454.62,10,2,2022,2024,4,1,Bajo,Alto,Regular,55266.49411764705
Networked background utilization,2023-03-12,2024-05-19,91122.63,0.5,social media,B2C,organic,0.7,831243.27,740120.64,3,5,2023,2024,1,2,Medio,Alto,Bueno,130175.18571428573
Quality-focused composite challenge,2022-12-01,2024-01-28,4855.98,0.35,podcast,B2B,promotion,0.85,649003.16,644147.18,12,1,2022,2024,4,1,Medio,Alto,Bueno,5712.917647058824
Enhanced asymmetric open system,2023-04-08,2023-12-20,54503.83,0.5,social media,B2B,promotion,0.9,79089.3,24585.47,4,12,2023,2023,2,4,Medio,Alto,Bueno,60559.811111111114
Innovative hybrid time-frame,2022-08-12,2023-12-21,12098.23,0.5,email,B2C,paid,0.44,270608.24,258510.00999999998,8,12,2022,2023,3,4,Medio,Medio,Bueno,27495.977272727272
Re-engineered intangible intranet,2023-03-06,2024-03-15,14419.22,0.29,podcast,B2C,promotion,0.18,108083.4,93664.18,3,3,2023,2024,1,1,Bajo,Bajo,Regular,80106.77777777778
Multi-channeled zero administration software,2023-01-09,2023-10-17,59892.4,0.68,email,B2B,promotion,0.66,940283.84,880391.44,1,10,2023,2023,1,4,Alto,Alto,Excelente,90746.06060606061
Universal national adapter,2022-11-28,2024-07-05,5197.61,0.1,social media,B2C,referral,0.78,61121.6,55923.99,11,7,2022,2024,4,3,Bajo,Alto,Regular,6663.6025641025635
Centralized system-worthy knowledgebase,2022-09-16,2024-01-20,6310.87,0.74,email,B2C,paid,0.62,845412.79,839101.92,9,1,2022,2024,3,1,Alto,Alto,Excelente,10178.822580645161
Open-architected asymmetric time-frame,2023-03-25,2024-06-03,80612.13,0.31,podcast,B2C,promotion,0.97,112762.13,32150.0,3,6,2023,2024,1,2,Medio,Alto,Bueno,83105.28865979382
Centralized leadingedge Local Area Network,2023-01-31,2023-09-27,80358.87,0.5,webinar,B2B,organic,0.64,112718.32,32359.45000000001,1,9,2023,2023,1,3,Medio,Alto,Bueno,125560.73437499999
Organized needs-based conglomeration,2022-10-19,2023-10-02,73855.23,0.54,social media,B2B,promotion,0.5,215072.47,141217.24,10,10,2022,2023,4,4,Medio,Medio,Bueno,147710.46
Optional secondary collaboration,2023-04-19,2024-02-28,63911.62,0.4,podcast,B2C,organic,0.49,177445.17,113533.55000000002,4,2,2023,2024,2,1,Medio,Medio,Bueno,130431.87755102041
Synchronized client-driven challenge,2023-02-08,2023-08-22,50124.39,0.7,social media,B2B,paid,0.22,639517.42,589393.03,2,8,2023,2023,1,3,Alto,Bajo,Regular,227838.13636363635
Enterprise-wide zero administration Graphic Interface,2022-11-24,2024-05-11,38086.24,0.65,podcast,B2C,paid,0.71,684590.46,646504.22,11,5,2022,2024,4,2,Alto,Alto,Excelente,53642.59154929577
Programmable local moratorium,2023-03-27,2023-08-15,48046.33,0.9,podcast,B2C,promotion,0.45,50534.85,2488.519999999997,3,8,2023,2023,1,3,Alto,Medio,Bueno,106769.62222222223
Networked systematic attitude,2022-11-01,2023-10-02,63808.2,0.67,email,B2B,promotion,0.17,275542.3,211734.09999999998,11,10,2022,2023,4,4,Alto,Bajo,Regular,375342.35294117645
Pre-emptive solution-oriented standardization,2023-01-31,2023-12-24,26057.53,0.94,email,B2B,referral,0.32,169915.72,143858.19,1,12,2023,2023,1,4,Alto,Medio,Bueno,81429.78125
Down-sized contextually-based strategy,2022-12-07,2024-01-20,56381.6,0.7,social media,B2C,referral,0.41,492601.2,436219.60000000003,12,1,2022,2024,4,1,Alto,Medio,Bueno,137516.0975609756
Reverse-engineered zero administration workforce,2022-10-11,2023-10-14,57815.1,0.62,webinar,B2B,promotion,0.65,962065.9,904250.8,10,10,2022,2023,4,4,Alto,Alto,Excelente,88946.30769230769
Pre-emptive real-time database,2023-07-28,2023-09-11,75262.37,0.75,webinar,B2B,referral,0.7,421847.27,346584.9,7,9,2023,2023,3,3,Alto,Alto,Excelente,107517.67142857143
Business-focused foreground budgetary management,2023-06-14,2023-12-10,43226.59,0.95,social media,B2B,referral,0.53,573462.79,530236.2000000001,6,12,2023,2023,2,4,Alto,Medio,Bueno,81559.6037735849
Stand-alone multi-tasking methodology,2022-11-02,2024-05-03,84506.27,0.8,podcast,B2C,organic,0.63,375663.38,291157.11,11,5,2022,2024,4,2,Alto,Alto,Excelente,134136.9365079365
Proactive eco-centric process improvement,2023-01-08,2023-12-27,36457.88,0.28,social media,B2B,organic,0.73,905182.53,868724.65,1,12,2023,2023,1,4,Bajo,Alto,Regular,49942.30136986301
Digitized human-resource knowledge user,2023-02-04,2024-01-25,10038.96,0.36,podcast,B2B,promotion,0.7,911686.87,901647.91,2,1,2023,2024,1,1,Medio,Alto,Bueno,14341.371428571429
Ergonomic next generation hub,2022-12-18,2024-01-27,27079.85,0.32,social media,B2C,referral,0.3,784636.2,757556.35,12,1,2022,2024,4,1,Medio,Bajo,Regular,90266.16666666667
Realigned radical hardware,2022-11-03,2024-07-12,34512.86,0.2,webinar,B2B,referral,0.87,999712.49,965199.63,11,7,2022,2024,4,3,Bajo,Alto,Regular,39669.95402298851
Grass-roots national approach,2022-08-29,2024-03-21,16063.49,0.99,email,B2B,promotion,0.69,868083.16,852019.67,8,3,2022,2024,3,1,Alto,Alto,Excelente,23280.420289855076
Synergistic mobile task-force,2022-11-02,2023-11-20,61343.2,0.91,social media,B2B,referral,0.73,943514.25,882171.05,11,11,2022,2023,4,4,Alto,Alto,Excelente,84031.78082191781
Customer-focused fault-tolerant help-desk,2022-10-08,2023-12-25,39585.98,0.11,podcast,B2B,promotion,0.99,889037.24,849451.26,10,12,2022,2023,4,4,Bajo,Alto,Regular,39985.83838383839
Face-to-face 6thgeneration portal,2023-05-08,2023-09-05,99535.21,0.59,social media,B2B,paid,0.15,142678.88,43143.67,5,9,2023,2023,2,3,Medio,Bajo,Regular,663568.0666666668
Ameliorated encompassing capacity,2023-02-19,2024-07-28,44466.83,0.15,webinar,B2B,promotion,0.31,504690.83,460224.0,2,7,2023,2024,1,3,Bajo,Medio,Regular,143441.3870967742
Digitized optimizing capability,2022-08-25,2023-10-12,70841.82,0.22,podcast,B2C,paid,0.76,406913.89,336072.07,8,10,2022,2023,3,4,Bajo,Alto,Regular,93212.92105263159
Triple-buffered zero tolerance circuit,2023-04-27,2024-03-18,62752.63,0.3,podcast,B2C,paid,0.32,307410.29,244657.65999999997,4,3,2023,2024,2,1,Bajo,Medio,Regular,196101.96875
Open-source background firmware,2023-07-04,2024-04-09,97748.2,0.73,email,B2C,referral,0.96,543371.38,445623.18,7,4,2023,2024,3,2,Alto,Alto,Excelente,101821.04166666667
Expanded global matrices,2022-11-28,2024-04-16,67048.32,0.78,webinar,B2B,organic,0.42,246285.96,179237.63999999998,11,4,2022,2024,4,2,Alto,Medio,Bueno,159638.85714285716
Organized regional implementation,2023-02-13,2023-12-31,34303.92,0.13,webinar,B2C,paid,0.48,420804.86,386500.94,2,12,2023,2023,1,4,Bajo,Medio,Regular,71466.5
Realigned stable parallelism,2023-03-31,2024-01-18,52871.17,0.19,webinar,B2B,promotion,0.53,611779.7,558908.5299999999,3,1,2023,2024,1,1,Bajo,Medio,Regular,99756.92452830188
Networked executive knowledgebase,2022-10-18,2023-08-19,53678.65,0.47,email,B2B,promotion,0.24,129992.9,76314.25,10,8,2022,2023,4,3,Medio,Bajo,Regular,223661.0416666667
Multi-tiered neutral standardization,2023-05-09,2023-11-26,21921.72,0.74,webinar,B2C,organic,0.55,721273.96,699352.24,5,11,2023,2023,2,4,Alto,Medio,Bueno,39857.67272727273
Virtual cohesive orchestration,2023-03-11,2023-08-21,98706.34,0.69,email,B2C,promotion,0.92,499658.4,400952.06000000006,3,8,2023,2023,1,3,Alto,Alto,Excelente,107289.49999999999
Progressive 4thgeneration policy,2022-10-06,2024-04-20,16290.7,0.49,webinar,B2C,promotion,0.99,172899.7,156609.0,10,4,2022,2024,4,2,Medio,Alto,Bueno,16455.252525252527
Monitored impactful installation,2023-07-28,2023-11-25,24936.91,0.9,webinar,B2B,promotion,0.37,541332.72,516395.81,7,11,2023,2023,3,4,Alto,Medio,Bueno,67397.05405405405
Automated responsive initiative,2022-08-30,2024-05-12,20401.62,0.6,podcast,B2B,paid,0.28,875354.92,854953.3,8,5,2022,2024,3,2,Medio,Bajo,Regular,72862.92857142857
Function-based grid-enabled conglomeration,2022-12-06,2024-05-03,33675.46,0.18,email,B2B,promotion,0.89,203504.87,169829.41,12,5,2022,2024,4,2,Bajo,Alto,Regular,37837.595505617974
Polarized dynamic analyzer,2023-06-27,2024-07-26,87618.4,0.97,podcast,B2C,promotion,0.5,274321.91,186703.50999999998,6,7,2023,2024,2,3,Alto,Medio,Bueno,175236.8
Centralized methodical alliance,2023-07-19,2024-02-11,33524.69,0.6,podcast,B2C,paid,0.19,970610.35,937085.6599999999,7,2,2023,2024,3,1,Medio,Bajo,Regular,176445.73684210528
Visionary directional open architecture,2023-05-02,2024-05-29,86623.59,0.26,webinar,B2C,organic,0.23,107133.96,20510.37000000001,5,5,2023,2024,2,2,Bajo,Bajo,Regular,376624.30434782605
Reduced static functionalities,2023-03-09,2024-01-08,8473.58,0.29,social media,B2B,organic,0.93,840891.99,832418.41,3,1,2023,2024,1,1,Bajo,Alto,Regular,9111.37634408602
Sharable upward-trending initiative,2022-10-23,2024-04-09,20951.3,0.58,social media,B2C,organic,0.24,994306.41,973355.11,10,4,2022,2024,4,2,Medio,Bajo,Regular,87297.08333333333
Front-line eco-centric open system,2023-06-16,2024-07-06,36331.8,0.9,social media,B2B,promotion,0.76,622639.37,586307.57,6,7,2023,2024,2,3,Alto,Alto,Excelente,47805.0
Managed bandwidth-monitored complexity,2023-03-21,2024-04-04,19401.94,0.92,email,B2B,organic,0.25,617007.9,597605.9600000001,3,4,2023,2024,1,2,Alto,Bajo,Regular,77607.76
Re-engineered non-volatile algorithm,2023-03-04,2023-11-06,59532.42,0.7,webinar,B2B,paid,0.9,773688.33,714155.9099999999,3,11,2023,2023,1,4,Alto,Alto,Excelente,66147.13333333333
Integrated secondary migration,2023-01-04,2024-04-26,98089.92,0.33,webinar,B2C,paid,0.22,522231.68,424141.76,1,4,2023,2024,1,2,Medio,Bajo,Regular,445863.2727272727
Horizontal 6thgeneration model,2022-11-19,2023-10-29,16308.37,0.65,webinar,B2C,promotion,0.37,511344.87,495036.5,11,10,2022,2023,4,4,Alto,Medio,Bueno,44076.67567567568
Robust optimizing projection,2023-06-12,2023-11-06,36824.24,0.93,email,B2B,promotion,0.42,971476.94,934652.7,6,11,2023,2023,2,4,Alto,Medio,Bueno,87676.76190476191
Right-sized scalable open architecture,2023-02-06,2023-12-24,62406.71,0.3,webinar,B2B,promotion,0.67,123917.89,61511.18,2,12,2023,2023,1,4,Bajo,Alto,Regular,93144.34328358209
Optional mission-critical project,2022-08-06,2024-07-22,96713.47,0.92,podcast,B2C,paid,0.63,995340.62,898627.15,8,7,2022,2024,3,3,Alto,Alto,Excelente,153513.44444444444
Focused responsive open architecture,2022-11-09,2024-01-28,91490.92,0.93,webinar,B2C,referral,0.95,38601.99,-52888.93,11,1,2022,2024,4,1,Alto,Alto,Excelente,96306.23157894737
Reverse-engineered static infrastructure,2023-07-26,2024-05-29,12246.32,0.48,email,B2B,referral,0.44,987205.29,974958.9700000001,7,5,2023,2024,3,2,Medio,Medio,Bueno,27832.545454545452
Monitored grid-enabled productivity,2023-01-08,2024-06-07,29724.33,0.61,podcast,B2C,promotion,0.27,961419.64,931695.31,1,6,2023,2024,1,2,Alto,Bajo,Regular,110090.11111111111
Cross-group foreground ability,2023-03-11,2023-11-27,32343.79,0.99,social media,B2B,paid,0.5,55043.59,22699.799999999996,3,11,2023,2023,1,4,Alto,Medio,Bueno,64687.58
Switchable mobile toolset,2023-06-25,2024-04-16,59590.26,0.83,podcast,B2B,referral,0.99,574709.76,515119.5,6,4,2023,2024,2,2,Alto,Alto,Excelente,60192.18181818182
Front-line mobile ability,2022-11-12,2023-08-18,77582.36,0.65,podcast,B2C,promotion,0.47,428175.9,350593.54000000004,11,8,2022,2023,4,3,Alto,Medio,Bueno,165068.8510638298
Optional systemic adapter,2022-12-15,2023-12-16,23477.6,0.26,email,B2B,paid,0.34,219063.7,195586.1,12,12,2022,2023,4,4,Bajo,Medio,Regular,69051.76470588235
User-friendly responsive parallelism,2022-10-31,2024-05-08,9666.13,0.86,email,B2C,referral,0.65,53039.92,43373.79,10,5,2022,2024,4,2,Alto,Alto,Excelente,14870.96923076923
Mandatory grid-enabled throughput,2023-06-07,2023-08-06,63938.71,0.0,email,B2C,referral,0.49,890569.79,826631.0800000001,6,8,2023,2023,2,3,Bajo,Medio,Regular,130487.16326530612
Phased dynamic throughput,2023-07-07,2023-12-31,44248.38,0.4,webinar,B2B,paid,0.65,313395.54,269147.16,7,12,2023,2023,3,4,Medio,Alto,Bueno,68074.43076923076
Pre-emptive mobile Local Area Network,2023-05-07,2024-02-13,97083.41,0.77,podcast,B2B,promotion,0.25,378325.1,281241.68999999994,5,2,2023,2024,2,1,Alto,Bajo,Regular,388333.64
Decentralized zero-defect superstructure,2022-10-18,2023-10-03,18706.92,0.58,webinar,B2B,referral,0.44,554902.17,536195.25,10,10,2022,2023,4,4,Medio,Medio,Bueno,42515.72727272727
Distributed grid-enabled focus group,2022-10-10,2023-10-12,92742.9,0.55,webinar,B2B,organic,0.33,755802.41,663059.51,10,10,2022,2023,4,4,Medio,Medio,Bueno,281039.0909090909
Monitored global leverage,2023-03-10,2024-04-26,14418.29,0.47,email,B2B,promotion,0.67,683612.91,669194.62,3,4,2023,2024,1,2,Medio,Alto,Bueno,21519.83582089552
Secured exuding hardware,2022-08-17,2024-04-13,55644.28,0.41,podcast,B2C,referral,0.68,764211.61,708567.33,8,4,2022,2024,3,2,Medio,Alto,Bueno,81829.82352941176
Re-engineered content-based projection,2023-06-23,2024-05-03,49973.41,0.32,podcast,B2B,promotion,0.4,305097.18,255123.77,6,5,2023,2024,2,2,Medio,Medio,Bueno,124933.52500000001
Compatible explicit hierarchy,2022-10-06,2024-05-27,52495.87,0.5,webinar,B2B,promotion,0.56,375558.47,323062.6,10,5,2022,2024,4,2,Medio,Medio,Bueno,93742.625
Reduced holistic groupware,2023-05-22,2023-08-13,22905.15,0.85,podcast,B2C,paid,0.2,923669.92,900764.77,5,8,2023,2023,2,3,Alto,Bajo,Regular,114525.75
Organic national application,2023-03-01,2023-11-20,70871.65,0.5,email,B2C,organic,0.46,193601.52,122729.87,3,11,2023,2023,1,4,Medio,Medio,Bueno,154068.80434782608
Configurable multi-tasking projection,2022-12-07,2023-08-07,91280.14,0.71,social media,B2B,paid,0.24,764420.89,673140.75,12,8,2022,2023,4,3,Alto,Bajo,Regular,380333.9166666667
Open-source zero-defect groupware,2022-08-22,2024-02-26,43142.37,0.65,webinar,B2C,referral,0.9,770745.63,727603.26,8,2,2022,2024,3,1,Alto,Alto,Excelente,47935.96666666667
Extended multi-tasking focus group,2023-07-13,2023-11-11,90807.23,0.44,email,B2B,referral,0.76,153622.7,62815.470000000016,7,11,2023,2023,3,4,Medio,Alto,Bueno,119483.19736842104
Reverse-engineered 4thgeneration adapter,2023-01-01,2024-04-15,32622.8,0.65,podcast,B2C,promotion,0.3,568194.2,535571.3999999999,1,4,2023,2024,1,2,Alto,Bajo,Regular,108742.66666666667
Open-source heuristic methodology,2023-06-04,2023-10-18,25277.14,0.34,email,B2C,organic,0.92,49060.75,23783.61,6,10,2023,2023,2,4,Medio,Alto,Bueno,27475.15217391304
Diverse interactive functionalities,2023-06-07,2023-10-09,84489.59,0.13,social media,B2B,promotion,0.83,786673.54,702183.9500000001,6,10,2023,2023,2,4,Bajo,Alto,Regular,101794.68674698795
Ameliorated leadingedge moratorium,2022-12-17,2024-06-11,28928.55,0.6,email,B2C,referral,0.12,130083.15,101154.59999999999,12,6,2022,2024,4,2,Medio,Bajo,Regular,241071.25
Distributed web-enabled matrix,2023-01-21,2024-03-22,9774.56,0.34,email,B2B,paid,0.6,918275.49,908500.9299999999,1,3,2023,2024,1,1,Medio,Medio,Bueno,16290.933333333332
Horizontal full-range complexity,2022-08-06,2023-08-31,59889.62,0.83,webinar,B2C,referral,0.85,142978.25,83088.63,8,8,2022,2023,3,3,Alto,Alto,Excelente,70458.37647058823
Re-engineered optimizing definition,2023-04-18,2023-10-09,90656.1,0.94,podcast,B2C,organic,0.56,886308.94,795652.84,4,10,2023,2023,2,4,Alto,Medio,Bueno,161885.89285714284
Horizontal regional implementation,2023-05-31,2024-02-21,84627.74,0.95,podcast,B2C,paid,0.75,731870.88,647243.14,5,2,2023,2024,2,1,Alto,Alto,Excelente,112836.98666666668
Robust eco-centric service-desk,2023-03-03,2023-12-01,61961.66,0.9,webinar,B2B,organic,0.81,794739.96,732778.2999999999,3,12,2023,2023,1,4,Alto,Alto,Excelente,76495.87654320987
Expanded radical array,2023-07-27,2024-02-11,67729.9,0.27,webinar,B2B,promotion,0.44,911554.74,843824.84,7,2,2023,2024,3,1,Bajo,Medio,Regular,153931.59090909088
Cross-group interactive matrix,2022-12-02,2023-09-18,53669.55,0.34,podcast,B2B,paid,0.22,650057.57,596388.0199999999,12,9,2022,2023,4,3,Medio,Bajo,Regular,243952.5
Digitized full-range moderator,2023-05-07,2023-12-14,45957.86,0.6,podcast,B2B,referral,0.57,941547.97,895590.11,5,12,2023,2023,2,4,Medio,Medio,Bueno,80627.82456140351
Programmable dedicated Graphical User Interface,2023-01-28,2023-10-09,77240.69,0.15,email,B2C,promotion,0.93,546902.83,469662.13999999996,1,10,2023,2023,1,4,Bajo,Alto,Regular,83054.50537634408
Total secondary attitude,2023-02-13,2024-03-01,27897.65,0.37,podcast,B2C,referral,0.36,746509.64,718611.99,2,3,2023,2024,1,1,Medio,Medio,Bueno,77493.47222222223
User-friendly coherent software,2023-04-01,2024-02-20,81083.98,0.2,podcast,B2C,paid,0.9,95920.24,14836.26000000001,4,2,2023,2024,2,1,Bajo,Alto,Regular,90093.3111111111
Grass-roots global attitude,2022-11-20,2024-04-16,81664.5,0.13,social media,B2C,paid,0.3,862829.84,781165.34,11,4,2022,2024,4,2,Bajo,Bajo,Regular,272215.0
Decentralized incremental synergy,2023-05-18,2023-08-24,78742.39,0.81,social media,B2C,referral,0.79,10253.3,-68489.09,5,8,2023,2023,2,3,Alto,Alto,Excelente,99673.91139240506
Virtual executive alliance,2022-10-13,2024-05-05,1580.69,0.46,podcast,B2B,organic,0.17,238785.82,237205.13,10,5,2022,2024,4,2,Medio,Bajo,Regular,9298.176470588234
Distributed content-based service-desk,2023-06-24,2024-05-10,3889.42,0.32,social media,B2C,promotion,0.2,769703.69,765814.2699999999,6,5,2023,2024,2,2,Medio,Bajo,Regular,19447.1
Customizable real-time toolset,2023-07-31,2024-05-07,45499.9,0.1,social media,B2C,organic,0.19,292766.77,247266.87000000002,7,5,2023,2024,3,2,Bajo,Bajo,Regular,239473.15789473685
Cross-group discrete implementation,2023-07-02,2024-03-10,98544.63,0.76,podcast,B2C,referral,0.95,803643.85,705099.22,7,3,2023,2024,3,1,Alto,Alto,Excelente,103731.18947368422
Secured object-oriented contingency,2023-01-22,2023-09-26,96004.64,0.6,podcast,B2B,promotion,0.33,593146.14,497141.5,1,9,2023,2023,1,3,Medio,Medio,Bueno,290923.1515151515
Re-contextualized needs-based function,2022-10-09,2023-10-23,23192.5,0.47,webinar,B2B,referral,0.53,278642.2,255449.7,10,10,2022,2023,4,4,Medio,Medio,Bueno,43759.43396226415
Face-to-face optimal capacity,2022-08-28,2023-11-29,28757.86,0.31,email,B2C,referral,0.3,215374.16,186616.3,8,11,2022,2023,3,4,Medio,Bajo,Regular,95859.53333333334
Assimilated analyzing definition,2023-06-19,2023-12-02,97448.7,0.27,email,B2C,paid,0.51,128880.88,31432.180000000008,6,12,2023,2023,2,4,Bajo,Medio,Regular,191075.88235294117
Diverse homogeneous approach,2022-10-31,2024-04-18,58194.33,0.84,social media,B2C,organic,0.58,209309.17,151114.84000000003,10,4,2022,2024,4,2,Alto,Medio,Bueno,100335.05172413794
Persevering non-volatile utilization,2023-07-18,2024-02-12,36038.7,0.6,webinar,B2B,referral,0.5,257457.4,221418.7,7,2,2023,2024,3,1,Medio,Medio,Bueno,72077.4
Down-sized exuding website,2023-03-29,2023-12-29,53597.41,0.96,podcast,B2C,paid,0.68,919259.71,865662.2999999999,3,12,2023,2023,1,4,Alto,Alto,Excelente,78819.72058823529
Persevering zero administration interface,2023-03-27,2023-10-25,1052.57,0.37,email,B2C,promotion,0.44,932323.35,931270.78,3,10,2023,2023,1,4,Medio,Medio,Bueno,2392.2045454545455
Re-contextualized global projection,2023-04-28,2023-10-20,81795.53,0.9,webinar,B2C,organic,0.98,708435.72,626640.19,4,10,2023,2023,2,4,Alto,Alto,Excelente,83464.82653061225
Advanced optimizing portal,2023-02-08,2023-08-26,97675.33,0.55,email,B2B,organic,0.77,961689.96,864014.63,2,8,2023,2023,1,3,Medio,Alto,Bueno,126851.07792207792
Total client-driven functionalities,2023-03-26,2024-06-06,32997.59,0.19,podcast,B2B,paid,0.21,144974.37,111976.78,3,6,2023,2024,1,2,Bajo,Bajo,Regular,157131.38095238095
Grass-roots reciprocal core,2022-11-07,2024-01-19,85249.47,0.97,social media,B2B,paid,0.9,34642.19,-50607.28,11,1,2022,2024,4,1,Alto,Alto,Excelente,94721.63333333333
Self-enabling reciprocal algorithm,2022-11-01,2024-07-29,8645.67,0.12,email,B2B,paid,0.37,961551.85,952906.1799999999,11,7,2022,2024,4,3,Bajo,Medio,Regular,23366.675675675677
Fundamental holistic policy,2023-01-09,2024-07-29,7952.59,0.3,email,B2C,organic,0.64,632738.63,624786.04,1,7,2023,2024,1,3,Bajo,Alto,Regular,12425.921875
Automated background intranet,2023-06-24,2023-12-01,97730.37,0.48,webinar,B2C,organic,0.34,901131.26,803400.89,6,12,2023,2023,2,4,Medio,Medio,Bueno,287442.2647058823
Diverse modular productivity,2023-01-23,2023-08-19,6626.65,0.28,email,B2C,referral,0.78,650555.67,643929.02,1,8,2023,2023,1,3,Bajo,Alto,Regular,8495.705128205127
Down-sized attitude-oriented conglomeration,2022-08-23,2024-06-25,59892.4,0.4,email,B2C,referral,0.37,912250.59,852358.19,8,6,2022,2024,3,2,Medio,Medio,Bueno,161871.35135135136
Universal 24hour process improvement,2022-12-25,2024-07-02,37166.31,0.28,webinar,B2B,referral,0.9,572808.65,535642.3400000001,12,7,2022,2024,4,3,Bajo,Alto,Regular,41295.899999999994
Fundamental optimal secured line,2023-07-26,2024-02-04,56570.94,0.91,podcast,B2C,referral,0.96,83447.66,26876.72,7,2,2023,2024,3,1,Alto,Alto,Excelente,58928.06250000001
Reverse-engineered responsive migration,2023-02-10,2023-09-23,91764.9,0.34,webinar,B2C,organic,0.61,889379.44,797614.5399999999,2,9,2023,2023,1,3,Medio,Alto,Bueno,150434.26229508195
Organized hybrid intranet,2023-06-03,2023-11-16,91247.27,0.7,social media,B2B,referral,0.0,579220.33,487973.05999999994,6,11,2023,2023,2,4,Alto,Bajo,Regular,inf
Streamlined intermediate core,2022-08-20,2024-02-18,59201.77,0.12,social media,B2B,promotion,0.65,784578.57,725376.7999999999,8,2,2022,2024,3,1,Bajo,Alto,Regular,91079.64615384614
Re-contextualized regional pricing structure,2023-03-18,2024-06-29,93497.4,0.44,email,B2B,promotion,0.37,58328.0,-35169.399999999994,3,6,2023,2024,1,2,Medio,Medio,Bueno,252695.67567567565
Stand-alone client-driven challenge,2022-12-20,2023-10-06,18364.99,0.24,webinar,B2B,paid,0.85,433475.14,415110.15,12,10,2022,2023,4,4,Bajo,Alto,Regular,21605.870588235295
Reactive client-driven paradigm,2023-04-09,2023-10-02,63250.91,0.72,email,B2C,paid,0.76,32045.66,-31205.250000000004,4,10,2023,2023,2,4,Alto,Alto,Excelente,83224.88157894737
Object-based composite info-mediaries,2023-05-04,2023-12-19,52277.41,0.79,webinar,B2C,promotion,0.84,838402.57,786125.1599999999,5,12,2023,2023,2,4,Alto,Alto,Excelente,62235.01190476191
User-centric discrete algorithm,2022-09-17,2024-07-25,41022.86,0.64,email,B2B,promotion,0.53,553643.5,512620.64,9,7,2022,2024,3,3,Alto,Medio,Bueno,77401.62264150943
Cloned discrete customer loyalty,2023-03-21,2023-10-11,69490.13,0.56,email,B2C,paid,0.5,690561.8,621071.67,3,10,2023,2023,1,4,Medio,Medio,Bueno,138980.26
Function-based motivating algorithm,2022-11-18,2024-05-08,16205.28,0.11,email,B2B,referral,0.86,632469.27,616263.99,11,5,2022,2024,4,2,Bajo,Alto,Regular,18843.3488372093
Devolved local Graphic Interface,2023-01-04,2024-06-06,71575.57,0.58,email,B2C,promotion,0.81,295020.93,223445.36,1,6,2023,2024,1,2,Medio,Alto,Bueno,88364.90123456791
Synergized 24hour strategy,2022-09-13,2023-09-24,78034.3,0.9,podcast,B2B,paid,0.36,718941.54,640907.24,9,9,2022,2023,3,3,Alto,Medio,Bueno,216761.94444444447
Function-based exuding strategy,2023-04-30,2024-02-25,87156.45,0.4,social media,B2C,referral,0.99,95274.7,8118.25,4,2,2023,2024,2,1,Medio,Alto,Bueno,88036.81818181818
Synergistic intermediate middleware,2023-07-22,2023-10-27,28984.24,0.1,webinar,B2C,paid,0.93,224410.83,195426.59,7,10,2023,2023,3,4,Bajo,Alto,Regular,31165.84946236559
Grass-roots 24/7 orchestration,2023-01-21,2024-06-25,39758.97,0.5,social media,B2C,promotion,0.56,81674.81,41915.84,1,6,2023,2024,1,2,Medio,Medio,Bueno,70998.16071428571
Adaptive needs-based initiative,2023-06-04,2024-07-06,46618.3,0.72,email,B2C,organic,0.23,854112.83,807494.5299999999,6,7,2023,2024,2,3,Alto,Bajo,Regular,202688.26086956522
Automated 5thgeneration attitude,2023-02-05,2024-06-03,96380.65,0.99,email,B2B,referral,0.18,35031.43,-61349.219999999994,2,6,2023,2024,1,2,Alto,Bajo,Regular,535448.0555555555
Mandatory secondary access,2022-08-03,2023-11-04,44406.38,0.17,email,B2B,promotion,0.21,438753.14,394346.76,8,11,2022,2023,3,4,Bajo,Bajo,Regular,211458.95238095237
Digitized analyzing paradigm,2022-09-28,2023-11-04,31010.8,0.5,email,B2B,referral,0.32,759445.2,728434.3999999999,9,11,2022,2023,3,4,Medio,Medio,Bueno,96908.75
Object-based intangible artificial intelligence,2023-03-27,2023-10-06,19288.56,0.5,webinar,B2B,promotion,0.44,138967.65,119679.09,3,10,2023,2023,1,4,Medio,Medio,Bueno,43837.63636363637
Proactive mission-critical structure,2022-11-18,2024-06-28,54317.78,0.9,social media,B2C,paid,0.35,190911.53,136593.75,11,6,2022,2024,4,2,Alto,Medio,Bueno,155193.65714285715
Object-based grid-enabled model,2023-03-27,2023-08-30,41357.61,0.56,social media,B2B,paid,0.65,869961.43,828603.8200000001,3,8,2023,2023,1,3,Medio,Alto,Bueno,63627.092307692306
Seamless executive standardization,2022-11-26,2024-06-12,16261.19,0.49,webinar,B2C,referral,0.52,546988.28,530727.0900000001,11,6,2022,2024,4,2,Medio,Medio,Bueno,31271.51923076923
De-engineered homogeneous array,2022-10-11,2024-06-07,27126.77,0.3,webinar,B2C,promotion,0.79,725838.96,698712.19,10,6,2022,2024,4,2,Bajo,Alto,Regular,34337.6835443038
Inverse heuristic projection,2023-03-27,2023-12-10,97754.27,0.87,social media,B2C,organic,0.56,368164.25,270409.98,3,12,2023,2023,1,4,Alto,Medio,Bueno,174561.19642857142
